NameOfStation;Line;Year;Quarter;IncomingPassengers;OutgoingPassengers;global_id
Нахимовский проспект;Серпуховско-Тимирязевская линия;2021;II квартал;1831879;1859606;1139049776
Улица академика Янгеля;Серпуховско-Тимирязевская линия;2021;II квартал;2107496;2057374;1139049777
Деловой центр;Солнцевская линия;2021;II квартал;743942;729463;1139049778
Ломоносовский проспект;Солнцевская линия;2021;II квартал;1022869;1025302;1139049779
Мичуринский проспект;Солнцевская линия;2021;II квартал;693180;686047;1139049780
Волгоградский проспект;Таганско-Краснопресненская линия;2021;II квартал;1613830;1655974;1139049783
Лермонтовский проспект;Таганско-Краснопресненская линия;2021;II квартал;1690680;1616472;1139049784
Рязанский проспект;Таганско-Краснопресненская линия;2021;II квартал;2666516;2686345;1139049785
Александровский сад;Филёвская линия;2021;II квартал;1287879;1288855;1139049787
Багратионовская;Филёвская линия;2021;II квартал;1170991;1176241;1139049789
Выставочная;Филёвская линия;2021;II квартал;1481558;1472911;1139049790
Международная;Филёвская линия;2021;II квартал;554615;524483;1139049793
Пионерская;Филёвская линия;2021;II квартал;457217;443923;1139049794
Студенческая;Филёвская линия;2021;II квартал;497987;511575;1139049796
Филёвский парк;Филёвская линия;2021;II квартал;726826;715266;1139049797
Фили;Филёвская линия;2021;II квартал;1455466;1461876;1139049798
Выставочный центр;Московская монорельсовая транспортная система;2021;II квартал;80371;70484;1139049799
Улица Академика Королёва;Московская монорельсовая транспортная система;2021;II квартал;16623;15107;1139049801
Улица Милашенкова;Московская монорельсовая транспортная система;2021;II квартал;18621;17205;1139049802
Андроновка;Московское центральное кольцо;2021;II квартал;696061;711741;1139049805
Балтийская;Московское центральное кольцо;2021;II квартал;1061954;1135258;1139049806
Белокаменная;Московское центральное кольцо;2021;II квартал;86178;88952;1139049807
Верхние Котлы;Московское центральное кольцо;2021;II квартал;1420296;1479298;1139049810
ЗИЛ;Московское центральное кольцо;2021;II квартал;618184;646345;1139049814
Зорге;Московское центральное кольцо;2021;II квартал;403781;421543;1139049815
Измайлово;Московское центральное кольцо;2021;II квартал;816352;889563;1139049816
Коптево;Московское центральное кольцо;2021;II квартал;1245921;1309099;1139049817
Крымская;Московское центральное кольцо;2021;II квартал;874467;914497;1139049818
Лихоборы;Московское центральное кольцо;2021;II квартал;940032;958358;1139049820
Локомотив;Московское центральное кольцо;2021;II квартал;831949;912906;1139049821
Лужники;Московское центральное кольцо;2021;II квартал;833045;964465;1139049822
Новохохловская;Московское центральное кольцо;2021;II квартал;597491;629902;1139049824
Панфиловская;Московское центральное кольцо;2021;II квартал;551983;583545;1139049826
Площадь Гагарина;Московское центральное кольцо;2021;II квартал;1087078;1336740;1139049827
Ростокино;Московское центральное кольцо;2021;II квартал;2510968;2549085;1139049828
Соколиная Гора;Московское центральное кольцо;2021;II квартал;534991;562941;1139049829
Стрешнево;Московское центральное кольцо;2021;II квартал;1259357;1316066;1139049830
Угрешская;Московское центральное кольцо;2021;II квартал;380656;410147;1139049831
Хорошёво;Московское центральное кольцо;2021;II квартал;697918;740832;1139049832
Улица Сергея Эйзенштейна;Московская монорельсовая транспортная система;2021;II квартал;21328;18392;1139049835
Курская;Арбатско-Покровская линия;2021;II квартал;1744083;1755109;1139050918
Кунцевская;Арбатско-Покровская линия;2021;I квартал;1134266;1146144;1139050920
Парк Победы;Арбатско-Покровская линия;2021;I квартал;1019923;998721;1139050921
Сокольники;Сокольническая линия;2021;II квартал;2301645;2331979;1139050923
Смоленская;Арбатско-Покровская линия;2021;I квартал;0;0;1139050924
Авиамоторная;Калининская линия;2021;II квартал;3276377;3421074;1139050925
Проспект Вернадского;Сокольническая линия;2021;II квартал;2436498;2437657;1139050926
Арбатская;Арбатско-Покровская линия;2021;I квартал;2273416;2373439;1139050927
Петровский парк;Большая кольцевая линия;2021;II квартал;807729;819640;1139050928
Тимирязевская;Московская монорельсовая транспортная система;2021;I квартал;43525;38091;1139050929
Курская;Арбатско-Покровская линия;2021;I квартал;1522995;1540141;1139050930
Шелепиха;Большая кольцевая линия;2021;II квартал;824537;848390;1139050931
Автозаводская;Московское центральное кольцо;2021;I квартал;376437;427063;1139050932
Сокольники;Сокольническая линия;2021;I квартал;1963304;1986175;1139050933
Озёрная;Солнцевская линия;2021;II квартал;1317067;1301533;1139050934
Ботанический сад;Московское центральное кольцо;2021;I квартал;679834;845888;1139050935
Проспект Вернадского;Сокольническая линия;2021;I квартал;2168063;2169456;1139050936
Парк Победы;Солнцевская линия;2021;II квартал;400298;412962;1139050937
Бульвар Рокоссовского;Московское центральное кольцо;2021;I квартал;774605;808964;1139050938
Киевская;Кольцевая линия;2021;I квартал;2835525;2799306;1139050939
Таганская;Таганско-Краснопресненская линия;2021;II квартал;1118613;1149560;1139050940
Владыкино;Московское центральное кольцо;2021;I квартал;534865;704933;1139050941
Белорусская;Кольцевая линия;2021;I квартал;3132174;3066857;1139050942
Арбатская;Филёвская линия;2021;II квартал;504848;482833;1139050943
Деловой центр;Московское центральное кольцо;2021;I квартал;1003278;1079557;1139050944
Кунцевская;Филёвская линия;2021;II квартал;688091;676405;1139050945
Таганская;Кольцевая линия;2021;I квартал;1853886;1918432;1139050946
Дубровка;Московское центральное кольцо;2021;I квартал;653303;695273;1139050947
Кутузовская;Филёвская линия;2021;II квартал;624911;662047;1139050948
Павелецкая;Кольцевая линия;2021;I квартал;2754059;2857563;1139050949
Кутузовская;Московское центральное кольцо;2021;I квартал;1238449;1362642;1139050950
Смоленская;Филёвская линия;2021;II квартал;1752887;1799799;1139050951
Нижегородская;Московское центральное кольцо;2021;I квартал;1284612;1380068;1139050952
Октябрьская;Кольцевая линия;2021;I квартал;1598582;1668261;1139050953
Тимирязевская;Московская монорельсовая транспортная система;2021;II квартал;58537;50495;1139050954
Окружная;Московское центральное кольцо;2021;I квартал;1060235;1083798;1139050955
Парк культуры;Кольцевая линия;2021;I квартал;2780848;2897742;1139050956
Шоссе Энтузиастов;Московское центральное кольцо;2021;I квартал;570854;643990;1139050958
Проспект Мира;Калужско-Рижская линия;2021;I квартал;1855291;1924780;1139050959
Автозаводская;Московское центральное кольцо;2021;II квартал;472838;531541;1139050960
Деловой центр;Большая кольцевая линия;2021;II квартал;1276196;1246325;1139050961
Кунцевская;Филёвская линия;2021;I квартал;587028;571835;1139050962
Ботанический сад;Московское центральное кольцо;2021;II квартал;842533;1026219;1139050963
Савёловская;Большая кольцевая линия;2021;II квартал;720136;706104;1139050964
Бульвар Рокоссовского;Московское центральное кольцо;2021;II квартал;869366;911094;1139050966
Авиамоторная;Калининская линия;2021;I квартал;3013520;3142943;1139050967
Третьяковская;Калининская линия;2021;II квартал;2151825;2258667;1139050968
Владыкино;Московское центральное кольцо;2021;II квартал;653437;833596;1139050969
Третьяковская;Калининская линия;2021;I квартал;1842681;1939669;1139050970
Деловой центр;Московское центральное кольцо;2021;II квартал;1263911;1344650;1139050971
Проспект Мира;Калужско-Рижская линия;2021;II квартал;2013833;2095190;1139050972
Дубровка;Московское центральное кольцо;2021;II квартал;802965;852089;1139050973
Шелепиха;Большая кольцевая линия;2021;I квартал;752317;784118;1139050974
Белорусская;Кольцевая линия;2021;II квартал;3626060;3498349;1139050975
Деловой центр;Большая кольцевая линия;2021;I квартал;1062070;1053347;1139050976
Кутузовская;Московское центральное кольцо;2021;II квартал;1450055;1591831;1139050977
Киевская;Кольцевая линия;2021;II квартал;3239407;3162640;1139050978
Комсомольская;Кольцевая линия;2021;I квартал;6466685;5514132;1139050979
Нижегородская;Московское центральное кольцо;2021;II квартал;1524933;1635336;1139050980
Комсомольская;Кольцевая линия;2021;II квартал;7566022;6397013;1139050981
Окружная;Московское центральное кольцо;2021;II квартал;1240909;1266941;1139050982
Кунцевская;Арбатско-Покровская линия;2021;II квартал;1291769;1308586;1139050983
Октябрьская;Кольцевая линия;2021;II квартал;2260845;2331673;1139050984
Шелепиха;Московское центральное кольцо;2021;II квартал;648659;706123;1139050985
Парк Победы;Арбатско-Покровская линия;2021;II квартал;1285349;1259705;1139050986
Павелецкая;Кольцевая линия;2021;II квартал;3177057;3285363;1139050987
Смоленская;Арбатско-Покровская линия;2021;II квартал;0;0;1139050988
Шоссе Энтузиастов;Московское центральное кольцо;2021;II квартал;652573;731678;1139050989
Парк культуры;Кольцевая линия;2021;II квартал;2983513;3079648;1139050990
Арбатская;Арбатско-Покровская линия;2021;II квартал;2554972;2664923;1139050991
Таганская;Кольцевая линия;2021;II квартал;2119332;2191457;1139050992
Лефортово;Некрасовская линия;2021;I квартал;380922;380900;1146103169
Лефортово;Некрасовская линия;2021;II квартал;455742;455125;1146103172
Авиамоторная;Некрасовская линия;2021;I квартал;361301;361296;1146103236
Авиамоторная;Некрасовская линия;2021;II квартал;513622;513610;1146103248
Электрозаводская;Некрасовская линия;2021;I квартал;375488;375374;1146103262
Электрозаводская;Некрасовская линия;2021;II квартал;463826;463241;1146103275
Телецентр;Московская монорельсовая транспортная система;2021;II квартал;30234;27626;1146103358
Мнёвники;Большая кольцевая линия;2021;II квартал;70458;67707;1146103399
Международная;Филёвская линия;2021;I квартал;514697;542625;1146422262
Выставочная;Филёвская линия;2021;I квартал;1179827;1173476;1146422463
Пятницкое шоссе;Арбатско-Покровская линия;2021;III квартал;1429142;1357385;1263040544
Митино;Арбатско-Покровская линия;2021;III квартал;2077107;1922906;1263040545
Мякинино;Арбатско-Покровская линия;2021;III квартал;1431976;1366138;1263040547
Строгино;Арбатско-Покровская линия;2021;III квартал;2225562;2193012;1263040548
Молодёжная;Арбатско-Покровская линия;2021;III квартал;3618398;3566172;1263040550
Беломорская;Замоскворецкая линия;2021;III квартал;2347549;2220542;1263040552
Речной вокзал;Замоскворецкая линия;2021;III квартал;2239918;2171194;1263040553
Водный стадион;Замоскворецкая линия;2021;III квартал;3017160;3012294;1263040554
Войковская;Замоскворецкая линия;2021;III квартал;3647103;3673198;1263040555
Аэропорт;Замоскворецкая линия;2021;III квартал;2652044;2702433;1263040556
Технопарк;Замоскворецкая линия;2021;III квартал;1419883;1431768;1263040557
Спортивная;Сокольническая линия;2021;III квартал;1655375;1837108;1263040562
Прокшино;Сокольническая линия;2021;III квартал;288920;278445;1263040566
Новослободская;Кольцевая линия;2021;III квартал;0;0;1263040568
Добрынинская;Кольцевая линия;2021;III квартал;1540114;1604009;1263040570
Свиблово;Калужско-Рижская линия;2021;III квартал;1831050;1850298;1263040573
ВДНХ;Калужско-Рижская линия;2021;III квартал;5444095;5200904;1263040575
Рижская;Калужско-Рижская линия;2021;III квартал;0;0;1263040577
Славянский бульвар;Арбатско-Покровская линия;2021;III квартал;4875673;4803822;1263040579
Тургеневская;Калужско-Рижская линия;2021;III квартал;1351082;1428797;1263040580
Измайловская;Арбатско-Покровская линия;2021;III квартал;1444236;1448584;1263040582
Профсоюзная;Калужско-Рижская линия;2021;III квартал;2511297;2593212;1263040583
Ховрино;Замоскворецкая линия;2021;III квартал;3373487;3062394;1263040584
Калужская;Калужско-Рижская линия;2021;III квартал;3032594;3149403;1263040585
Сокол;Замоскворецкая линия;2021;III квартал;2630578;2679626;1263040586
Ясенево;Калужско-Рижская линия;2021;III квартал;2205316;2187465;1263040588
Динамо;Замоскворецкая линия;2021;III квартал;2114735;2177251;1263040589
Маяковская;Замоскворецкая линия;2021;III квартал;2584875;2675862;1263040591
Новокузнецкая;Замоскворецкая линия;2021;III квартал;2340440;2474435;1263040592
Багратионовская;Филёвская линия;2021;III квартал;1121820;1123352;1263040593
Фили;Филёвская линия;2021;III квартал;1398226;1404204;1263040594
Кантемировская;Замоскворецкая линия;2021;III квартал;3212248;3200100;1263040595
Орехово;Замоскворецкая линия;2021;III квартал;1566290;1511590;1263040596
Домодедовская;Замоскворецкая линия;2021;III квартал;5172282;4767319;1263040597
Черкизовская;Сокольническая линия;2021;III квартал;1345069;1208100;1263040599
Планерная;Таганско-Краснопресненская линия;2021;III квартал;3314837;3170515;1263040601
Красные ворота;Сокольническая линия;2021;III квартал;1756008;1822545;1263040602
Сходненская;Таганско-Краснопресненская линия;2021;III квартал;3844813;3801895;1263040603
Чистые пруды;Сокольническая линия;2021;III квартал;1499165;1536589;1263040604
Тушинская;Таганско-Краснопресненская линия;2021;III квартал;3793265;3640434;1263040605
Кропоткинская;Сокольническая линия;2021;III квартал;1823187;1912389;1263040609
Щукинская;Таганско-Краснопресненская линия;2021;III квартал;3174030;3195986;1263040610
Октябрьское поле;Таганско-Краснопресненская линия;2021;III квартал;3079526;3160201;1263040611
Фрунзенская;Сокольническая линия;2021;III квартал;1941693;2057997;1263040612
Беговая;Таганско-Краснопресненская линия;2021;III квартал;3436677;3480855;1263040614
Баррикадная;Таганско-Краснопресненская линия;2021;III квартал;1652442;1697718;1263040616
Саларьево;Сокольническая линия;2021;III квартал;2954858;2579993;1263040618
Ольховая;Сокольническая линия;2021;III квартал;515491;487143;1263040619
Волгоградский проспект;Таганско-Краснопресненская линия;2021;III квартал;1600781;1655800;1263040620
Краснопресненская;Кольцевая линия;2021;III квартал;1548088;1585142;1263040621
Рязанский проспект;Таганско-Краснопресненская линия;2021;III квартал;2562489;2596609;1263040622
Лермонтовский проспект;Таганско-Краснопресненская линия;2021;III квартал;1614185;1539284;1263040623
Котельники;Таганско-Краснопресненская линия;2021;III квартал;4097483;3633054;1263040624
Медведково;Калужско-Рижская линия;2021;III квартал;4036623;3909126;1263040625
Бабушкинская;Калужско-Рижская линия;2021;III квартал;3692399;3707261;1263040626
Алексеевская;Калужско-Рижская линия;2021;III квартал;2542432;2634400;1263040628
Сухаревская;Калужско-Рижская линия;2021;III квартал;1532016;1613365;1263040629
Шаболовская;Калужско-Рижская линия;2021;III квартал;1896994;2002592;1263040631
Ленинский проспект;Калужско-Рижская линия;2021;III квартал;2883764;3351369;1263040632
Академическая;Калужско-Рижская линия;2021;III квартал;2539887;2563915;1263040633
Отрадное;Серпуховско-Тимирязевская линия;2021;III квартал;3843296;3895299;1263040634
Беляево;Калужско-Рижская линия;2021;III квартал;2729338;2767735;1263040635
Коньково;Калужско-Рижская линия;2021;III квартал;2059312;2053712;1263040636
Новоясеневская;Калужско-Рижская линия;2021;III квартал;487063;477743;1263040638
Цветной бульвар;Серпуховско-Тимирязевская линия;2021;III квартал;1685294;1754510;1263040639
Пионерская;Филёвская линия;2021;III квартал;432602;416630;1263040640
Полянка;Серпуховско-Тимирязевская линия;2021;III квартал;1226589;1294092;1263040642
Студенческая;Филёвская линия;2021;III квартал;462268;474513;1263040643
Серпуховская;Серпуховско-Тимирязевская линия;2021;III квартал;1490970;1560467;1263040644
Нагатинская;Серпуховско-Тимирязевская линия;2021;III квартал;3221879;3304731;1263040645
Нагорная;Серпуховско-Тимирязевская линия;2021;III квартал;1158781;1181353;1263040646
Нахимовский проспект;Серпуховско-Тимирязевская линия;2021;III квартал;1748441;1779205;1263040647
Севастопольская;Серпуховско-Тимирязевская линия;2021;III квартал;1998477;2029010;1263040648
Спартак;Таганско-Краснопресненская линия;2021;III квартал;311371;300292;1263040649
Пражская;Серпуховско-Тимирязевская линия;2021;III квартал;3773490;3778505;1263040650
Полежаевская;Таганско-Краснопресненская линия;2021;III квартал;2506179;2571219;1263040652
Улица 1905 года;Таганско-Краснопресненская линия;2021;III квартал;3381604;3534051;1263040653
Пушкинская;Таганско-Краснопресненская линия;2021;III квартал;3364990;3498551;1263040654
Кузнецкий мост;Таганско-Краснопресненская линия;2021;III квартал;1757764;1856256;1263040655
Битцевский парк;Бутовская линия Лёгкого метро;2021;III квартал;289003;210118;1263040656
Лесопарковая;Бутовская линия Лёгкого метро;2021;III квартал;500822;483078;1263040658
Пролетарская;Таганско-Краснопресненская линия;2021;III квартал;2460153;2508785;1263040659
Улица Скобелевская;Бутовская линия Лёгкого метро;2021;III квартал;1359010;1316546;1263040660
Кузьминки;Таганско-Краснопресненская линия;2021;III квартал;4655135;4667688;1263040662
Улица Горчакова;Бутовская линия Лёгкого метро;2021;III квартал;728360;719522;1263040663
Выхино;Таганско-Краснопресненская линия;2021;III квартал;5158048;5006049;1263040664
Бунинская аллея;Бутовская линия Лёгкого метро;2021;III квартал;1580736;1551153;1263040665
Селигерская;Люблинско-Дмитровская линия;2021;III квартал;3178444;3132577;1263040666
Жулебино;Таганско-Краснопресненская линия;2021;III квартал;1883576;1822257;1263040667
Верхние Лихоборы;Люблинско-Дмитровская линия;2021;III квартал;946487;938314;1263040668
Новокосино;Калининская линия;2021;III квартал;4787197;4628634;1263040669
Новогиреево;Калининская линия;2021;III квартал;5414517;5286859;1263040670
Перово;Калининская линия;2021;III квартал;3222725;3225290;1263040671
Фонвизинская;Люблинско-Дмитровская линия;2021;III квартал;1092347;1084231;1263040673
Бутырская;Люблинско-Дмитровская линия;2021;III квартал;1108023;1151731;1263040674
Площадь Ильича;Калининская линия;2021;III квартал;1817688;1844756;1263040675
Марксистская;Калининская линия;2021;III квартал;1724827;1811802;1263040676
Достоевская;Люблинско-Дмитровская линия;2021;III квартал;966705;1019102;1263040678
Алтуфьево;Серпуховско-Тимирязевская линия;2021;III квартал;3636635;3558392;1263040679
Трубная;Люблинско-Дмитровская линия;2021;III квартал;1182377;1241012;1263040680
Бибирево;Серпуховско-Тимирязевская линия;2021;III квартал;2246443;2264162;1263040681
Дмитровская;Серпуховско-Тимирязевская линия;2021;III квартал;2679567;2734940;1263040682
Менделеевская;Серпуховско-Тимирязевская линия;2021;III квартал;3407604;3599222;1263040683
Чеховская;Серпуховско-Тимирязевская линия;2021;III квартал;1553386;1645445;1263040684
Боровицкая;Серпуховско-Тимирязевская линия;2021;III квартал;496142;523444;1263040686
Тульская;Серпуховско-Тимирязевская линия;2021;III квартал;2733470;2838749;1263040687
Чертановская;Серпуховско-Тимирязевская линия;2021;III квартал;2393156;2385231;1263040688
Шипиловская;Люблинско-Дмитровская линия;2021;III квартал;1072656;1079844;1263040689
Южная;Серпуховско-Тимирязевская линия;2021;III квартал;1749851;1747885;1263040690
Зябликово;Люблинско-Дмитровская линия;2021;III квартал;805521;809723;1263040691
Аннино;Серпуховско-Тимирязевская линия;2021;III квартал;1953877;1779322;1263040692
Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;2021;III квартал;4276856;4134665;1263040693
Лухмановская;Некрасовская линия;2021;III квартал;1197423;1128163;1263040694
Чкаловская;Люблинско-Дмитровская линия;2021;III квартал;3387730;3285885;1263040696
Римская;Люблинско-Дмитровская линия;2021;III квартал;1404051;1434481;1263040698
Мнёвники;Большая кольцевая линия;2021;III квартал;89886;90262;1263040700
Кожуховская;Люблинско-Дмитровская линия;2021;III квартал;1827079;1934028;1263040702
Минская;Солнцевская линия;2021;III квартал;464554;477391;1263040703
Волжская;Люблинско-Дмитровская линия;2021;III квартал;1303898;1335773;1263040704
Ломоносовский проспект;Солнцевская линия;2021;III квартал;1006800;1009207;1263040705
Люблино;Люблинско-Дмитровская линия;2021;III квартал;3563193;3454724;1263040706
Братиславская;Люблинско-Дмитровская линия;2021;III квартал;2993337;2996008;1263040707
Марьино;Люблинско-Дмитровская линия;2021;III квартал;2475429;2467840;1263040708
Борисово;Люблинско-Дмитровская линия;2021;III квартал;915219;912244;1263040709
Стахановская;Некрасовская линия;2021;III квартал;478411;436574;1263040710
Боровское шоссе;Солнцевская линия;2021;III квартал;445907;421611;1263040711
Окская;Некрасовская линия;2021;III квартал;498092;487093;1263040712
Юго-Восточная;Некрасовская линия;2021;III квартал;802152;773046;1263040713
Косино;Некрасовская линия;2021;III квартал;316194;297138;1263040714
Некрасовка;Некрасовская линия;2021;III квартал;3826979;3619497;1263040715
ЦСКА;Большая кольцевая линия;2021;III квартал;2599014;2578948;1263040717
Улица Милашенкова;Московская монорельсовая транспортная система;2021;III квартал;17378;16186;1263040718
Народное Ополчение;Большая кольцевая линия;2021;III квартал;907727;887127;1263040719
Белокаменная;Московское центральное кольцо;2021;III квартал;81549;84580;1263040720
Раменки;Солнцевская линия;2021;III квартал;1344810;1322763;1263040722
Озёрная;Солнцевская линия;2021;III квартал;1393152;1381385;1263040723
Локомотив;Московское центральное кольцо;2021;III квартал;900714;945551;1263040724
Говорово;Солнцевская линия;2021;III квартал;997731;935008;1263040725
Солнцево;Солнцевская линия;2021;III квартал;1229138;1178211;1263040726
Новопеределкино;Солнцевская линия;2021;III квартал;1211071;1159110;1263040727
Рассказовка;Солнцевская линия;2021;III квартал;1584348;1479780;1263040728
Андроновка;Московское центральное кольцо;2021;III квартал;682879;699464;1263040729
Новохохловская;Московское центральное кольцо;2021;III квартал;598631;632915;1263040731
Телецентр;Московская монорельсовая транспортная система;2021;III квартал;28448;25845;1263040732
Угрешская;Московское центральное кольцо;2021;III квартал;394729;429043;1263040733
Лихоборы;Московское центральное кольцо;2021;III квартал;930132;947933;1263040734
ЗИЛ;Московское центральное кольцо;2021;III квартал;633246;663742;1263040735
Верхние Котлы;Московское центральное кольцо;2021;III квартал;1428068;1485366;1263040736
Ростокино;Московское центральное кольцо;2021;III квартал;2530584;2566353;1263040737
Площадь Гагарина;Московское центральное кольцо;2021;III квартал;1106775;1358832;1263040738
Лужники;Московское центральное кольцо;2021;III квартал;970702;1106461;1263040739
Измайлово;Московское центральное кольцо;2021;III квартал;801358;875072;1263040740
Зорге;Московское центральное кольцо;2021;III квартал;405435;425410;1263040743
Панфиловская;Московское центральное кольцо;2021;III квартал;520492;552227;1263040744
Балтийская;Московское центральное кольцо;2021;III квартал;1051585;1123506;1263040745
Крымская;Московское центральное кольцо;2021;III квартал;831313;872881;1263040746
Волоколамская;Арбатско-Покровская линия;2021;III квартал;1351129;1327707;1263040748
Крылатское;Арбатско-Покровская линия;2021;III квартал;2009129;1986769;1263040750
Стрешнево;Московское центральное кольцо;2021;III квартал;1277553;1330700;1263040751
Коптево;Московское центральное кольцо;2021;III квартал;1201900;1269688;1263040752
Бауманская;Арбатско-Покровская линия;2021;III квартал;3913726;4102678;1263040756
Партизанская;Арбатско-Покровская линия;2021;III квартал;1494941;1461792;1263040757
Площадь Революции;Арбатско-Покровская линия;2021;III квартал;2761712;2753036;1263040759
Первомайская;Арбатско-Покровская линия;2021;III квартал;2663314;2667697;1263040763
Коломенская;Замоскворецкая линия;2021;III квартал;3846526;3891717;1263040774
Царицыно;Замоскворецкая линия;2021;III квартал;4712684;4587321;1263040775
Красногвардейская;Замоскворецкая линия;2021;III квартал;1416563;1420401;1263040780
Алма-Атинская;Замоскворецкая линия;2021;III квартал;1071583;1046315;1263040781
Преображенская площадь;Сокольническая линия;2021;III квартал;3472280;3551328;1263040783
Красносельская;Сокольническая линия;2021;III квартал;1709761;1770018;1263040784
Лубянка;Сокольническая линия;2021;III квартал;1850326;1879123;1263040787
Охотный ряд;Сокольническая линия;2021;III квартал;3525822;3474340;1263040788
Университет;Сокольническая линия;2021;III квартал;2430276;2531693;1263040792
Юго-Западная;Сокольническая линия;2021;III квартал;2972206;3050700;1263040793
Румянцево;Сокольническая линия;2021;III квартал;819313;825323;1263040794
Филатов луг;Сокольническая линия;2021;III квартал;549065;530104;1263040797
Коммунарка;Сокольническая линия;2021;III квартал;866890;854573;1263040800
Киевская;Арбатско-Покровская линия;2021;III квартал;3950817;3625803;1266156637
Электрозаводская;Арбатско-Покровская линия;2021;III квартал;2614718;2783527;1266156641
Семёновская;Арбатско-Покровская линия;2021;III квартал;2315274;2396221;1266156642
Щёлковская;Арбатско-Покровская линия;2021;III квартал;6153119;5858489;1266156643
Хорошёвская;Большая кольцевая линия;2021;III квартал;642534;632871;1266156646
Новые Черёмушки;Калужско-Рижская линия;2021;III квартал;3032430;3103871;1266159554
Бульвар Рокоссовского;Московское центральное кольцо;2021;III квартал;845177;891599;1266159556
Соколиная Гора;Московское центральное кольцо;2021;III квартал;499599;529353;1266159558
Тёплый стан;Калужско-Рижская линия;2021;III квартал;5031732;4959070;1266159559
Парк Победы;Арбатско-Покровская линия;2021;III квартал;1300816;1275852;1266159560
Шоссе Энтузиастов;Московское центральное кольцо;2021;III квартал;630933;713747;1266159561
Киевская;Кольцевая линия;2021;III квартал;3173234;3093354;1266159562
Белорусская;Кольцевая линия;2021;III квартал;3556387;3378479;1266159564
Нижегородская;Московское центральное кольцо;2021;III квартал;1549001;1656129;1266159565
Арбатская;Арбатско-Покровская линия;2021;III квартал;2088075;2189926;1266159566
Проспект Мира;Кольцевая линия;2021;III квартал;1935777;2007717;1266159567
Курская;Арбатско-Покровская линия;2021;III квартал;1398470;1405105;1266159568
Дубровка;Московское центральное кольцо;2021;III квартал;786129;841059;1266159569
Комсомольская;Кольцевая линия;2021;III квартал;7548425;6225741;1266159570
Автозаводская;Московское центральное кольцо;2021;III квартал;479225;537238;1266159571
Кутузовская;Московское центральное кольцо;2021;III квартал;1329171;1475397;1266159573
Курская;Кольцевая линия;2021;III квартал;3765406;3464261;1266159574
Петровский парк;Большая кольцевая линия;2021;III квартал;764778;769096;1266159575
Таганская;Кольцевая линия;2021;III квартал;2024833;2100832;1266159576
Деловой центр;Московское центральное кольцо;2021;III квартал;1282044;1361731;1266159578
Павелецкая;Кольцевая линия;2021;III квартал;3133738;3265736;1266159579
Деловой центр;Большая кольцевая линия;2021;III квартал;1273979;1240919;1266159580
Шелепиха;Московское центральное кольцо;2021;III квартал;654565;711197;1266159581
Авиамоторная;Некрасовская линия;2021;III квартал;477981;477503;1266159582
Октябрьская;Кольцевая линия;2021;III квартал;2144522;2208974;1266159583
Хорошёво;Московское центральное кольцо;2021;III квартал;688060;731451;1266159584
Парк культуры;Кольцевая линия;2021;III квартал;3262106;3398118;1266159585
Лефортово;Некрасовская линия;2021;III квартал;460377;459916;1266159586
Нижегородская;Некрасовская линия;2021;III квартал;793224;1053251;1266159587
Окружная;Люблинско-Дмитровская линия;2021;III квартал;517182;514637;1266159588
Электрозаводская;Некрасовская линия;2021;III квартал;561749;561887;1266159589
улица Дмитриевского;Некрасовская линия;2021;III квартал;733335;722170;1266159590
Петровско-Разумовская;Люблинско-Дмитровская линия;2021;III квартал;1777498;1761540;1266159591
Бульвар адмирала Ушакова;Бутовская линия Лёгкого метро;2021;III квартал;743358;738430;1266159592
Владыкино;Серпуховско-Тимирязевская линия;2021;III квартал;1253316;1478142;1266159593
Марьина роща;Люблинско-Дмитровская линия;2021;III квартал;2212844;2283247;1266159594
Белорусская;Замоскворецкая линия;2021;III квартал;2437121;2287334;1266159595
Петровско-Разумовская;Серпуховско-Тимирязевская линия;2021;III квартал;0;0;1266159596
Сретенский бульвар;Люблинско-Дмитровская линия;2021;III квартал;684888;731822;1266159597
Павелецкая;Замоскворецкая линия;2021;III квартал;2887524;2348764;1266159598
Тимирязевская;Серпуховско-Тимирязевская линия;2021;III квартал;1635842;1605798;1266159599
Крестьянская застава;Люблинско-Дмитровская линия;2021;III квартал;564624;597432;1266159600
Автозаводская;Замоскворецкая линия;2021;III квартал;2845552;3022687;1266159601
Савёловская;Серпуховско-Тимирязевская линия;2021;III квартал;3289414;3304660;1266159602
Дубровка;Люблинско-Дмитровская линия;2021;III квартал;1413424;1503289;1266159603
Улица академика Янгеля;Серпуховско-Тимирязевская линия;2021;III квартал;2027006;1968667;1266159604
Каширская;Замоскворецкая линия;2021;III квартал;1663426;1703283;1266159605
Печатники;Люблинско-Дмитровская линия;2021;III квартал;1604318;1621870;1266159606
Бульвар Рокоссовского;Сокольническая линия;2021;III квартал;1732589;1737141;1266159607
Шоссе Энтузиастов;Калининская линия;2021;III квартал;1680559;1831640;1266159608
Сокольники;Сокольническая линия;2021;III квартал;2146908;2181857;1266159609
Улица Сергея Эйзенштейна;Московская монорельсовая транспортная система;2021;III квартал;19628;16827;1266159610
Авиамоторная;Калининская линия;2021;III квартал;3184019;3359186;1266159611
Комсомольская;Сокольническая линия;2021;III квартал;2667873;2157109;1266159612
